Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,distribution losses ,Europe,0.005023653,0.005032321,0.004954214,0.004686844,0.005111132,0.004826137,0.005124825,0.005037029,0.004917521,0.004409386,0.004931631,0.004427697,0.00371838,0.003593053,0.003425185,0.003303497,0.003294201,0.003139663,0.003131539,0.003183715,0.002766022,0.002850545,0.002617987,0.002605692,0.002435665,0.002433513,0.00246466,0.002357064,0.002354846,0.002317023,0.002363478,0.002221623,0.002249493,0.002105815,0.00201438,0.001999987,0.001985654,0.001956709,0.001899244,0.001806532,0.001791285,0.001813869
Belize,distribution losses ,Central & South America,1.16071E-05,1.23038E-05,1.20523E-05,1.16384E-05,1.28134E-05,1.19339E-05,1.28748E-05,1.25071E-05,1.32436E-05,1.1975E-05,1.36017E-05,1.39716E-05,1.26574E-05,1.28736E-05,1.17531E-05,1.14584E-05,1.11869E-05,1.19088E-05,1.09747E-05,1.08675E-05,2.26304E-05,2.71411E-05,2.49861E-05,2.77423E-05,3.11682E-05,3.40793E-05,3.6053E-05,3.38249E-05,3.33813E-05,3.26285E-05,3.24935E-05,2.13853E-05,2.27648E-05,2.64868E-05,3.46143E-05,3.59484E-05,3.48167E-05,3.23297E-05,3.26995E-05,3.46543E-05,3.57075E-05,3.49518E-05
Benin,distribution losses ,Africa,3.8265E-05,4.96736E-05,2.96216E-05,5.60041E-05,4.97607E-05,4.77993E-05,5.01614E-05,6.05935E-05,6.65962E-05,5.30452E-05,5.88402E-05,6.18993E-05,3.3641E-05,4.20641E-05,3.64585E-05,3.77748E-05,3.43683E-05,3.57263E-05,3.58916E-05,4.0896E-05,4.30708E-05,6.38182E-05,6.80177E-05,7.42106E-05,7.40245E-05,7.1314E-05,7.83221E-05,7.41775E-05,8.19892E-05,0.000122413,0.000117918,0.000114332,0.000115919,0.000121868,0.000123471,0.000145177,0.000147351,0.000150974,0.0001484,0.000182656,0.000179393,0.000183571
Bhutan,distribution losses ,Asia & Oceania,2.0408E-06,2.67473E-06,2.85108E-06,2.6952E-06,2.48803E-06,1.22685E-06,3.55812E-05,0.000127246,0.000162313,0.000142307,0.000148277,0.000138036,0.000118111,0.000109905,0.000111419,0.000108036,0.000111448,0.000108429,0.000101867,9.63062E-05,1.09502E-05,4.99249E-05,6.42698E-05,8.50994E-05,8.45437E-05,7.39646E-05,7.52452E-05,8.94225E-05,6.88123E-06,8.74548E-06,1.09316E-05,1.29688E-05,4.60233E-05,4.40481E-05,4.29113E-05,3.49736E-05,0.000135941,2.94627E-05,9.26595E-05,0.000264705,0.00027275,0.000266977
Bolivia,distribution losses ,Central & South America,0.000262389,0.000301863,0.000248081,0.000290521,0.000279015,0.000291576,0.000396275,0.000335595,0.000385955,0.000377947,0.000431039,0.000402977,0.000364794,0.000369772,0.0003406,0.000313891,0.000319625,0.000342803,0.000362994,0.000341829,0.000288355,0.000355034,0.000395613,0.000402956,0.00039155,0.000315549,0.000336288,0.000350118,0.000401747,0.000422561,0.000446036,0.000446118,0.000413373,0.000379973,0.000401812,0.000426622,0.000409308,0.000434423,0.000443502,0.000450315,0.000457654,0.000460354
Bosnia and Herz.,distribution losses ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,0.001135383,0.000648569,0.000775224,0.000758194,0.001344659,0.001531979,0.001241522,0.001216849,0.001276794,0.001306439,0.001253469,0.001338564,0.001326596,0.001405454,0.001381204,0.001316205,0.001151362,0.001103484,0.000912579,0.000868137,0.000817998,0.000770589,0.000703569,0.000730603,0.0006948,0.000684719,0.000677494,0.000632502,0.000637726,0.000588269
Botswana,distribution losses ,Africa,5.65047E-05,6.71358E-05,6.33717E-05,5.31689E-05,5.53588E-05,5.08585E-05,6.29693E-05,9.20089E-05,8.47588E-05,7.39849E-05,8.161E-05,7.77279E-05,8.00655E-05,7.03252E-05,7.01155E-05,6.5917E-05,4.56497E-05,5.18032E-05,0.000117463,0.000111114,0.000119722,8.06897E-05,8.12048E-05,0.000131776,0.000111037,0.000135055,0.000180265,0.000203543,0.000191503,0.000224228,0.000189693,0.000243235,0.000214888,0.000180939,0.000135711,0.000277252,0.000288562,0.000294322,0.00025563,0.000317509,0.000345824,0.000338505
Brazil,distribution losses ,Central & South America,0.029999788,0.029989502,0.033590903,0.032090352,0.034302878,0.035102222,0.042388074,0.042538191,0.043880819,0.041724064,0.043378918,0.045570543,0.037081827,0.03752114,0.04031068,0.041505518,0.043060891,0.04582921,0.044307315,0.04549873,0.046407697,0.041473748,0.04017208,0.041766675,0.042384202,0.042207811,0.043854171,0.042637817,0.045141487,0.047147909,0.048846351,0.049052803,0.051598915,0.050553918,0.049587274,0.048781663,0.050302391,0.049622472,0.049203956,0.053159896,0.054816994,0.055014934
Brunei,distribution losses ,Asia & Oceania,2.73322E-05,3.82105E-05,4.44324E-05,5.07537E-05,5.68693E-05,5.25792E-05,5.68496E-05,7.14693E-05,7.41639E-05,6.76327E-05,7.2524E-05,9.85336E-05,9.14614E-05,6.2607E-05,4.60529E-05,6.20586E-05,3.69459E-05,2.46682E-05,2.36558E-05,2.16054E-05,2.11704E-05,0.000225197,0.00023598,0.000271874,7.92192E-05,0.000109811,0.000109402,9.79143E-05,9.60445E-05,0.000128298,0.000209631,0.00014964,0.00013287,0.000217659,0.000153806,0.000140984,0.000124327,0.000244506,0.000241568,0.000250083,0.000227611,0.000222794
Bulgaria,distribution losses ,Europe,0.006293687,0.007059388,0.007198051,0.007081019,0.007643595,0.006398735,0.006972438,0.006856388,0.007255955,0.006178445,0.006079699,0.006744501,0.006741864,0.005719734,0.005527308,0.005603263,0.005056435,0.005318968,0.004563938,0.005110457,0.004591786,0.004500282,0.004289973,0.004179372,0.003306426,0.00308165,0.003050211,0.002784326,0.002734339,0.002655424,0.002552032,0.002463737,0.002313468,0.00207282,0.002135722,0.00198374,0.001830117,0.00176695,0.001557827,0.001392311,0.001345447,0.001233162
Burkina Faso,distribution losses ,Africa,1.24999E-05,1.44436E-05,1.49034E-05,1.43336E-05,1.40574E-05,1.28261E-05,1.42793E-05,1.44648E-05,1.51506E-05,1.42029E-05,1.66668E-05,1.60938E-05,1.3982E-05,1.40377E-05,1.38351E-05,1.46063E-05,1.5818E-05,1.67914E-05,1.78153E-05,1.87967E-05,3.57707E-05,4.69467E-05,3.95613E-05,4.78554E-05,4.96094E-05,5.175E-05,5.27742E-05,6.11223E-05,5.56355E-05,6.00295E-05,5.87309E-05,6.43396E-05,7.40353E-05,8.39771E-05,9.2869E-05,9.60162E-05,9.37315E-05,0.000113611,0.000109986,8.12139E-05,9.33258E-05,9.13507E-05
Myanmar,distribution losses ,Asia & Oceania,0.000592197,0.000630473,0.00074054,0.000845312,0.001025425,0.000834895,0.001034997,0.00101766,0.001094296,0.001135168,0.000896287,0.001219038,0.001178486,0.001185619,0.001201213,0.001389573,0.001188284,0.001311666,0.000962546,0.001152804,0.001169482,0.001070972,0.001099388,0.001093045,0.001103224,0.001484342,0.001124482,0.001163103,0.001125009,0.001159983,0.001317601,0.001517698,0.0014818,0.00140228,0.001543914,0.001348524,0.001220249,0.00146514,0.001486603,0.001713241,0.001855902,0.001880806
Burundi,distribution losses ,Africa,3.8265E-07,5.34947E-07,5.18378E-07,3.06272E-06,5.10047E-06,5.24199E-06,7.25669E-06,1.0332E-05,1.10186E-05,9.56141E-06,1.04407E-05,9.90389E-06,7.8005E-06,7.5324E-06,7.79062E-06,7.492E-06,7.09705E-06,7.20481E-06,6.33812E-06,5.34735E-06,0,1.83386E-05,2.08217E-05,2.01131E-05,1.75321E-05,1.76707E-05,1.55401E-05,1.78026E-05,1.87404E-05,2.00098E-05,2.2786E-05,2.2418E-05,2.18716E-05,2.1287E-05,2.1288E-05,2.09642E-05,2.04654E-05,2.03331E-05,2.00888E-05,2.01274E-05,2.07391E-05,2.03051E-05
Cambodia,distribution losses ,Asia & Oceania,1.22448E-05,1.37749E-05,1.38666E-05,1.23734E-05,1.19426E-05,1.18224E-05,1.346E-05,1.35947E-05,1.4303E-05,1.32746E-05,1.46553E-05,1.39716E-05,1.22159E-05,1.17779E-05,1.20217E-05,7.10526E-05,4.63972E-05,6.20957E-05,6.77045E-05,8.71934E-05,6.20512E-05,9.09592E-05,6.66296E-05,6.38072E-05,0.000110387,6.75274E-05,8.82678E-05,0.000128179,9.60445E-05,0.000104757,0.00016292,0.000165893,0.000143259,0.000265555,0.000381588,0.000424526,0.00047889,0.000677094,0.000547419,0.00068433,0.000678686,0.000706627
Cameroon,distribution losses ,Africa,0.000194969,0.000278937,0.000224013,0.000252018,0.0003892,0.000299542,0.000520007,0.00043503,0.000454065,0.000403144,0.000481669,0.000474983,0.000396333,0.000366838,0.000486434,0.000546835,0.000504355,0.000520583,0.000513086,0.000536278,0.00055554,0.00066679,0.000529566,0.000608249,0.000512977,0.000440506,0.000390989,0.000290776,0.000315073,0.000317803,0.000330397,0.000611451,0.000875957,0.000999956,0.001125072,0.000871588,0.000866198,0.000909908,0.000906506,0.000937935,0.001027102,0.001005365
Canada,distribution losses ,North America,0.058740475,0.053636063,0.055557177,0.053305408,0.054557251,0.055314958,0.05613732,0.053699824,0.059048096,0.054534491,0.046675338,0.046050579,0.038617748,0.035873794,0.035114378,0.035667512,0.037496665,0.033970624,0.031650646,0.033268511,0.034508475,0.032543604,0.034253847,0.026573623,0.024493008,0.013967453,0.014436756,0.012559733,0.013763641,0.015493507,0.014755075,0.014934304,0.01422255,0.013852503,0.015590821,0.017433328,0.016647059,0.017998388,0.01683691,0.016880822,0.01705322,0.016766518
Central African Rep.,distribution losses ,Africa,8.54586E-06,8.82662E-06,9.07162E-06,8.33061E-06,8.95692E-06,8.58794E-06,1.0885E-05,9.89694E-06,9.74726E-06,8.54028E-06,8.90813E-06,8.13534E-06,6.91743E-06,6.50526E-06,6.64889E-06,6.2958E-06,6.13474E-06,6.19256E-06,5.82422E-06,5.5634E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32175E-06,5.32201E-06,5.24106E-06,5.11635E-06,5.08329E-06,5.0222E-06,5.03184E-06,5.18477E-06,5.07504E-06
Chad,distribution losses ,Africa,5.61221E-06,6.41936E-06,6.35013E-06,5.88043E-06,6.09568E-06,5.68812E-06,7.60782E-06,8.59185E-06,8.05208E-06,7.14785E-06,8.14184E-06,7.25106E-06,5.81358E-06,5.54659E-06,5.37284E-06,5.28847E-06,5.11228E-06,5.06123E-06,4.91062E-06,4.64517E-06,4.85459E-06,5.1348E-06,5.19849E-06,5.58313E-06,5.54534E-06,5.69881E-06,5.6566E-06,5.35858E-06,6.14919E-06,8.61601E-06,9.1144E-06,9.77424E-06,1.92743E-05,2.14732E-05,2.28314E-05,2.27986E-05,2.25631E-05,2.27985E-05,2.28259E-05,2.32471E-05,2.39536E-05,2.47916E-05
Chile,distribution losses ,Central & South America,0.002627532,0.002546729,0.002684458,0.003202735,0.003232667,0.003071902,0.003257148,0.003582785,0.003792954,0.002686742,0.002660125,0.002815788,0.002493638,0.002817314,0.002657636,0.002632544,0.002309549,0.002142728,0.002368027,0.001624266,0.00213456,0.002296721,0.001872569,0.001975943,0.002619427,0.002865183,0.003048347,0.002928527,0.002975622,0.003768914,0.002829452,0.002626828,0.001913216,0.002602333,0.002322524,0.00194286,0.001469926,0.002122379,0.001763512,0.00179653,0.001701236,0.00168302
China,distribution losses ,Asia & Oceania,0.044259892,0.048718373,0.048560923,0.048058523,0.052177624,0.06441754,0.072265889,0.075415603,0.079975941,0.077366491,0.058626742,0.061598681,0.057418854,0.059653682,0.057194825,0.066969335,0.066122015,0.067002157,0.064590941,0.06652159,0.068494259,0.075770517,0.081092355,0.087435301,0.092244876,0.107694922,0.115545639,0.122345985,0.125202167,0.132901877,0.1462998,0.15136066,0.158359082,0.167140583,0.16497585,0.156595448,0.156710133,0.162453157,0.168329429,0.167565354,0.167648428,0.166543041
Colombia,distribution losses ,Central & South America,0.006018544,0.00637542,0.006762983,0.006715242,0.007401901,0.00670465,0.007836886,0.010996943,0.011459081,0.009977811,0.010543344,0.009843258,0.006819658,0.008054778,0.008767321,0.008599165,0.008371257,0.008661931,0.00865476,0.008138304,0.007047552,0.006172025,0.006063985,0.006291252,0.00630117,0.006196748,0.006498871,0.006615446,0.006323709,0.004947729,0.005204892,0.004164142,0.004220124,0.002800302,0.003113374,0.003730585,0.003581444,0.002826445,0.004095672,0.00288026,0.003193922,0.002623549
Comoros,distribution losses ,Africa,1.14795E-06,1.33737E-06,1.29595E-06,1.3476E-06,1.49282E-06,1.56144E-06,1.63861E-06,1.52261E-06,1.48328E-06,1.48527E-06,1.4368E-06,1.32641E-06,1.10384E-06,1.02715E-06,1.00741E-06,9.4437E-07,9.62312E-07,9.52702E-07,9.70704E-07,9.18231E-07,5.88537E-06,6.32167E-06,6.36729E-06,6.74831E-06,7.92451E-06,8.33301E-06,8.65708E-06,7.72039E-06,7.0007E-06,7.59138E-06,1.00714E-05,8.9431E-06,8.87713E-06,8.29926E-06,7.76694E-06,7.7075E-06,8.30639E-06,1.28394E-05,1.37427E-05,1.51559E-05,1.81467E-05,1.85265E-05
