Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Botswana,distribution losses ,Africa,0.03101,0.03514,0.03423,0.03038,0.03115,0.03192,0.03766,0.05922,0.056,0.05579,0.05964,0.06153,0.07616,0.07189,0.07308,0.07329,0.05313,0.0609,0.144,0.144,0.164,0.11,0.117,0.19,0.171,0.214,0.29,0.343,0.327,0.381,0.333,0.434,0.393,0.34,0.255,0.529,0.564,0.579,0.509,0.631,0.667,0.667
Burkina Faso,net generation,Africa,0.098,0.108,0.115,0.117,0.113,0.115,0.122,0.133,0.143,0.153,0.174,0.182,0.19,0.205,0.206,0.232,0.263,0.282,0.312,0.348,0.318,0.327,0.36492,0.444662,0.472234,0.489468,0.519525,0.58152,0.589033,0.664416,0.6343,0.69348,0.86834,0.98268,1.11808,1.43986,1.5509,1.64602,1.6464,1.72552,1.647133174,1.761209666
Burkina Faso,net consumption,Africa,0.09114,0.10044,0.10695,0.10881,0.10509,0.10695,0.11346,0.12369,0.13299,0.14229,0.16182,0.16926,0.1767,0.19065,0.19158,0.21576,0.24459,0.26226,0.29016,0.32364,0.269,0.3297,0.41842,0.444862,0.492034,0.532768,0.573925,0.60252,0.629733,0.707016,0.9157,1.07388,1.24784,1.35648,1.431962,1.69966,1.9974,2.06792,2.2648,2.651386,2.467133174,2.642688237
Burkina Faso,net imports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667,0.1105,0.0692,0.0962,0.1253,0.1393,0.124,0.1357,0.1446,0.3845,0.4952,0.5149,0.5316,0.488382,0.443,0.6297,0.6454,0.8374,1.087266,1,1.061478571
Burkina Faso,distribution losses ,Africa,0.00686,0.00756,0.00805,0.00819,0.00791,0.00805,0.00854,0.00931,0.01001,0.01071,0.01218,0.01274,0.0133,0.01435,0.01442,0.01624,0.01841,0.01974,0.02184,0.02436,0.049,0.064,0.057,0.069,0.0764,0.082,0.0849,0.103,0.095,0.102,0.1031,0.1148,0.1354,0.1578,0.1745,0.1832,0.1832,0.2235,0.219,0.1614,0.18,0.18
Burundi,net generation,Africa,0.003,0.004,0.004,0.025,0.041,0.047,0.062,0.095,0.104,0.103,0.109,0.112,0.106,0.11,0.116,0.119,0.118,0.121,0.111,0.099,0.1,0.116,0.128,0.102,0.092,0.097,0.094,0.118,0.113,0.122,0.1489,0.147,0.15,0.174,0.187,0.18,0.184,0.279,0.268878,0.355946,0.350520748,0.357991644
Burundi,net consumption,Africa,0.04179,0.04472,0.04072,0.05925,0.07313,0.08571,0.08366,0.10035,0.10872,0.10879,0.11737,0.12716,0.12158,0.1373,0.15088,0.13967,0.14474,0.14753,0.13223,0.12707,0.13,0.126,0.133,0.125,0.128,0.14,0.144,0.165,0.157,0.18,0.2039,0.206,0.209,0.237,0.238,0.236,0.244,0.339,0.328878,0.415946,0.410520748,0.417981972
Burundi,net imports ,Africa,0.039,0.041,0.037,0.036,0.035,0.042,0.026,0.012,0.012,0.013,0.016,0.023,0.023,0.035,0.043,0.029,0.035,0.035,0.029,0.035,0.03,0.035,0.035,0.052,0.063,0.071,0.075,0.077,0.076,0.092,0.095,0.099,0.099,0.103,0.091,0.096,0.1,0.1,0.1,0.1,0.1,0.1
Burundi,distribution losses ,Africa,0.00021,0.00028,0.00028,0.00175,0.00287,0.00329,0.00434,0.00665,0.00728,0.00721,0.00763,0.00784,0.00742,0.0077,0.00812,0.00833,0.00826,0.00847,0.00777,0.00693,0,0.025,0.03,0.029,0.027,0.028,0.025,0.03,0.032,0.034,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.040009672
Cameroon,net generation,Africa,1.432,1.883,2.13,2.096,2.191,2.381,2.355,2.362,2.553,2.668,2.675,2.71,2.695,2.699,2.738,2.811,2.928,3.095,3.134,3.34,3.44372,3.50198,3.26092,3.63964,4.0596,3.95208,4.38974,5.0498,5.47968,5.57024,5.7036,5.73125,5.3116,6.15693,6.66283,7.69155,6.92157,7.8328,8.28183,8.35484,8.297891475,8.045474929
